Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,car_age
549.0,891.0,34.0,312.0,2021.0,9.0,1.0,5.0,2.0,443250.0,4.0,0.0,1.0,1.0,0.0,14.0,12.0,4.0
41281.0,730.0,51.0,201.0,1987.0,4.0,1.0,1.0,1.6,10573.0,4.0,0.0,1.0,1.0,0.0,2.0,4.0,38.0
15681.0,898.417676266137,34.0,831.0,2008.0,4.0,1.0,4.0,3.5,443250.0,6.0,2.0,0.0,1.0,0.0,12.0,12.0,17.0
36899.0,777.0,22.0,697.0,1990.0,7.0,1.0,1.0,2.5,15200.0,4.0,0.0,1.0,1.0,0.0,12.0,4.0,35.0
15289.0,836.0,22.0,675.0,2007.0,1.0,1.0,5.0,2.0,443250.0,4.0,0.0,1.0,1.0,0.0,11.0,4.0,18.0
8467.0,639.0,22.0,1125.0,2018.0,9.0,1.0,4.0,2.0,443250.0,4.0,0.0,1.0,1.0,0.0,8.0,4.0,7.0
14426.0,898.417676266137,30.0,1047.0,2008.0,4.0,1.0,2.0,3.5,58506.0,6.0,0.0,0.0,1.0,0.0,7.0,0.0,17.0
13000.0,898.417676266137,34.0,507.0,2010.0,9.0,1.0,5.0,5.0,443250.0,8.0,2.0,2.0,1.0,0.0,1.0,12.0,15.0
25810.0,697.0,22.0,1099.0,2001.0,4.0,1.0,1.0,2.2,176800.0,4.0,0.0,1.0,1.0,0.0,1.0,4.0,24.0
37006.0,898.417676266137,4.0,65.0,1992.0,9.0,1.0,1.0,2.0,204000.0,4.0,2.0,2.0,1.0,0.0,2.0,8.0,33.0
7213.0,898.417676266137,34.0,278.0,2018.0,10.0,0.0,5.0,2.8,443250.0,6.0,0.0,2.0,1.0,0.0,12.0,8.0,7.0
12544.0,928.0,40.0,223.0,2012.0,10.0,0.0,5.0,1.4,443250.0,4.0,1.0,1.0,1.0,0.0,12.0,7.0,13.0
4701.0,898.417676266137,27.0,1146.0,2018.0,4.0,1.0,1.0,2.0,443250.0,4.0,0.0,1.0,1.0,0.0,12.0,4.0,7.0
21326.0,975.0,58.0,1319.0,2003.0,4.0,1.0,5.0,3.2,443250.0,6.0,2.0,0.0,1.0,0.0,14.0,10.0,22.0
100.0,898.417676266137,34.0,831.0,2021.0,4.0,1.0,5.0,3.5,443250.0,6.0,0.0,0.0,1.0,0.0,12.0,8.0,4.0
30.0,898.417676266137,39.0,1188.0,2005.0,3.0,0.0,5.0,1.8,0.0,4.0,0.0,1.0,1.0,1.0,0.0,4.0,20.0
4861.0,697.0,54.0,418.0,2020.0,9.0,1.0,5.0,1.8,219910.0,4.0,0.0,1.0,1.0,0.0,14.0,12.0,5.0
